X,Y,FID,OBJECTID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,POPULATION,POP_SQMI,POP2010,POP10_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,Shape_Leng,SHAPE_Le_1,SHAPE_Area,norm_cases,date,county,state,fips_1,cases,deaths,norm_death,nCov_sqMi,LAT,LONG
-123.707559776325,46.5499031495515,"1895","1895",Pacific,Washington,"53","049","53049","21006",21.899999999999999,"20920",21.800000000000001,"18286","79","483","427","15","1677","926","704","10488","10432","995","978","1016","1172","889","1818","1988","2950","3931","3014","1574","595",50.799999999999997,49.600000000000001,52.000000000000000,"9499",2.170000000000000,"1482","1650","1200","3325","265","469","5707",2.720000000000000,"15547","6048","6927","2572",330.000000000000000,158.000000000000000,12962.000000000000000,111460.000000000000000,960.350000000000023,6.030552850940000,6.030552853112162,0.291752750696000,5.617,2020-10-27,Pacific,Washington,"53049","118","3",0.143,,,
-123.433165981958,46.2914718289857,"1896","1896",Wahkiakum,Washington,"53","069","53069","4051",14.100000000000000,"3978",13.900000000000000,"3738","10","52","23","6","108","26","123","1999","1979","159","191","233","209","113","303","384","565","806","642","268","105",52.100000000000001,51.299999999999997,52.899999999999999,"1737",2.260000000000000,"228","237","246","748","51","72","1187",2.690000000000000,"2067","330","1385","352",109.000000000000000,88.000000000000000,2701.000000000000000,31993.000000000000000,286.699999999999989,1.445219156750000,1.445219157458679,0.086690554482000,2.469,2020-10-27,Wahkiakum,Washington,"53069","10","0",0.000,,,
-122.482614090602,45.7791095843677,"1908","1908",Clark,Washington,"53","011","53011","470604",717.100000000000023,"425363",648.100000000000023,"363397","8426","3624","17504","2708","32166","12485","17219","209954","215409","29429","31139","32840","30021","24383","54885","59688","61892","52376","28082","14220","6408",36.700000000000003,35.799999999999997,37.500000000000000,"158099",2.670000000000000,"16393","20133","39306","45446","5094","12045","110672",3.150000000000000,"167413","9314","104003","54096",1929.000000000000000,39.000000000000000,28986.000000000000000,26367.000000000000000,656.289999999999964,2.106292912800000,2.106292910900768,0.196639977171000,9.787,2020-10-27,Clark,Washington,"53011","4606","81",0.172,,,
-122.680599857075,46.1932446920093,"1909","1909",Cowlitz,Washington,"53","015","53015","105460",90.400000000000006,"102410",87.799999999999997,"91069","642","1570","1500","232","7975","3575","3822","50542","51868","6564","6760","6994","7157","5683","11658","12560","15074","14155","8791","4845","2169",40.200000000000003,39.500000000000000,40.899999999999999,"40244",2.510000000000000,"4789","5610","7767","12429","1480","3280","27241",2.990000000000000,"43450","3206","26477","13767",492.000000000000000,79.000000000000000,18633.000000000000000,58481.000000000000000,1166.250000000000000,2.989006343790000,2.989006338948887,0.352025732901000,7.614,2020-10-27,Cowlitz,Washington,"53015","803","7",0.066,,,
-122.829584024361,46.9194982686752,"1910","1910",Thurston,Washington,"53","067","53067","273662",371.699999999999989,"252264",342.600000000000023,"207856","6752","3515","13037","1961","17787","5648","13495","122952","129312","15381","15629","16559","17216","16325","34015","33007","37043","34325","18284","9933","4547",38.399999999999999,37.000000000000000,39.700000000000003,"100650",2.460000000000000,"11003","15101","20690","29547","2861","7798","66161",2.950000000000000,"108182","7532","67069","33581",1336.000000000000000,57.000000000000000,23071.000000000000000,91634.000000000000000,736.330000000000041,4.334250943640000,4.334254261222602,0.225210418433000,6.501,2020-10-27,Thurston,Washington,"53067","1779","34",0.124,,,
-122.392369977821,46.5785512234678,"1911","1911",Lewis,Washington,"53","041","53041","77144",31.699999999999999,"75455",31.000000000000000,"67712","405","1073","664","117","6527","3047","2437","37750","37705","4585","4539","5094","5311","4242","8470","8569","10971","10598","7285","4049","1742",41.500000000000000,40.399999999999999,42.700000000000003,"29743",2.510000000000000,"3616","4028","5603","9638","1021","2157","20104",2.970000000000000,"34050","4307","20793","8950",1647.000000000000000,81.000000000000000,54331.000000000000000,80345.000000000000000,2436.079999999999927,5.123987349020000,5.123986860314641,0.740442793634000,9.255,2020-10-27,Lewis,Washington,"53041","714","12",0.156,,,
-122.101584110994,47.0230305127651,"1912","1912",Pierce,Washington,"53","053","53053","862336",509.500000000000000,"795225",469.899999999999977,"590040","53998","10879","47501","10588","72849","27872","54347","392934","402291","55663","53579","54838","56289","56203","112050","108427","118943","91448","48907","27697","11181",35.899999999999999,34.899999999999999,36.799999999999997,"299918",2.590000000000000,"34710","40467","66736","80149","10047","27086","202174",3.090000000000000,"325375","25457","189080","110838",1478.000000000000000,33.000000000000000,11524.000000000000000,61524.000000000000000,1692.490000000000009,7.828453651320000,7.828446056182431,0.518650930569000,12.971,2020-10-27,Pierce,Washington,"53053","11185","249",0.289,,,
-120.789407398522,45.8743396749178,"1914","1914",Klickitat,Washington,"53","039","53039","21241",11.199999999999999,"20318",10.699999999999999,"17824","50","481","127","19","2171","1147","670","10268","10050","1114","1207","1336","1231","832","1958","2403","3078","3534","2240","1033","352",45.299999999999997,44.600000000000001,45.899999999999999,"8327",2.420000000000000,"1123","1072","1540","2995","252","437","5626",2.880000000000000,"9786","1459","5865","2462",760.000000000000000,725.000000000000000,192258.000000000000000,95247.000000000000000,1904.259999999999991,4.201392458650000,4.201392456936154,0.571516080621000,9.792,2020-10-27,Klickitat,Washington,"53039","208","3",0.141,,,
-121.915376116807,46.0220073424134,"1915","1915",Skamania,Washington,"53","059","53059","11386",6.800000000000000,"11066",6.600000000000000,"10265","46","173","96","11","553","146","329","5565","5501","604","648","730","717","451","1140","1384","1956","1840","981","464","151",44.000000000000000,44.100000000000001,43.899999999999999,"4522",2.440000000000000,"625","531","880","1577","135","250","3072",2.920000000000000,"5628","1106","3352","1170",144.000000000000000,45.000000000000000,1312.000000000000000,38456.000000000000000,1683.920000000000073,3.236389085460000,3.236389088521460,0.506731663935000,6.324,2020-10-27,Skamania,Washington,"53059","72","1",0.088,,,
-120.737861345741,46.4563473432619,"1916","1916",Yakima,Washington,"53","077","53077","249611",57.899999999999999,"243231",56.399999999999999,"155056","2320","10568","2560","204","109470","63414","9109","121676","121555","21409","20456","19859","19964","16530","31918","29431","30343","25199","15199","8856","4067",32.299999999999997,31.300000000000001,33.200000000000003,"80592",2.970000000000000,"7947","9478","20757","20669","3764","8865","58790",3.460000000000000,"85474","4882","50944","29648",3143.000000000000000,566.000000000000000,306851.000000000000000,523548.000000000000000,4311.630000000000109,5.852812164970000,5.852812162366232,1.307654758320000,51.624,2020-10-27,Yakima,Washington,"53077","12886","285",1.142,,,
-123.771614680199,47.1503394485867,"1917","1917",Grays Harbor,Washington,"53","027","53027","73154",37.899999999999999,"72797",37.700000000000003,"61825","803","3325","1032","182","6272","2817","2813","37357","35440","4260","4141","4493","4770","4312","8560","8606","10883","10923","6869","3531","1449",41.899999999999999,40.600000000000001,43.299999999999997,"28579",2.450000000000000,"3774","4102","4750","8632","1089","2188","18493",2.940000000000000,"35166","6587","19376","9203",557.000000000000000,214.000000000000000,22786.000000000000000,56289.000000000000000,1930.420000000000073,5.821923350730000,5.821923351761466,0.592971661002000,9.692,2020-10-27,Grays Harbor,Washington,"53027","709","11",0.150,,,
-123.600545652089,47.7486449910264,"1918","1918",Jefferson,Washington,"53","031","53031","31374",17.300000000000001,"29872",16.399999999999999,"27198","246","681","464","63","848","200","1020","14798","15074","1068","1127","1367","1354","1105","2318","2731","4503","6457","4730","2286","826",53.799999999999997,53.100000000000001,54.399999999999999,"14049",2.080000000000000,"2036","2491","1579","5325","269","650","8394",2.570000000000000,"17767","3718","10433","3616",221.000000000000000,70.000000000000000,4173.000000000000000,34648.000000000000000,1818.579999999999927,7.529836176130000,7.529836178296184,0.564913873462000,2.773,2020-10-27,Jefferson,Washington,"53031","87","0",0.000,,,
-123.931020261428,48.0496133477548,"1919","1919",Clallam,Washington,"53","009","53009","75717",42.899999999999999,"71404",40.500000000000000,"62092","596","3630","1007","94","3627","1269","2716","35429","35975","3363","3398","3822","3994","3598","7051","6944","9977","12068","9216","5460","2513",48.899999999999999,46.799999999999997,50.700000000000003,"31329",2.220000000000000,"4129","5396","4193","11269","831","1890","19713",2.700000000000000,"35582","4253","22420","8909",536.000000000000000,44.000000000000000,8124.000000000000000,19865.000000000000000,1764.670000000000073,5.956804326460000,5.956794662940473,0.551321662576000,3.487,2020-10-27,Clallam,Washington,"53009","264","1",0.013,,,
-123.199265695748,47.3509436441533,"1920","1920",Mason,Washington,"53","045","53045","62695",64.400000000000006,"60699",62.299999999999997,"52281","659","2239","731","227","4844","2049","2513","31400","29299","3278","3357","3513","3688","3124","6903","6951","9171","9602","6564","3430","1118",44.299999999999997,42.700000000000003,46.000000000000000,"23832",2.450000000000000,"3015","3021","3961","8542","807","1469","16057",2.870000000000000,"32518","8686","18474","5358",377.000000000000000,63.000000000000000,4754.000000000000000,108247.000000000000000,973.649999999999977,5.908683877830000,5.908683879758776,0.300199371619000,8.294,2020-10-27,Mason,Washington,"53045","520","10",0.160,,,
-122.675705733862,47.612611924595,"1921","1921",Kitsap,Washington,"53","035","53035","264059",655.000000000000000,"251133",623.000000000000000,"207369","6650","4040","12396","2310","15686","3919","14449","127155","123978","14831","15139","15987","17259","18696","31274","30523","38782","35346","19152","9634","4510",39.299999999999997,37.200000000000003,41.299999999999997,"97220",2.490000000000000,"11515","12966","20863","30826","2622","6695","65820",2.970000000000000,"107367","10147","66425","30795",706.000000000000000,14.000000000000000,2527.000000000000000,7513.000000000000000,403.129999999999995,4.789075580030000,4.789076925469638,0.124906120710000,5.650,2020-10-27,Kitsap,Washington,"53035","1492","23",0.087,,,
-122.963061923019,48.5785620227241,"1922","1922",San Juan,Washington,"53","055","53055","16450",93.099999999999994,"15769",89.299999999999997,"14597","54","111","181","15","857","412","399","7665","8104","539","647","776","746","511","1257","1571","2522","3543","2274","931","452",52.600000000000001,52.399999999999999,52.700000000000003,"7613",2.050000000000000,"1197","1391","927","2749","170","337","4438",2.560000000000000,"13313","5700","5360","2253",274.000000000000000,57.000000000000000,5522.000000000000000,15492.000000000000000,176.629999999999995,7.197044096970000,7.197044079522397,0.055751618023000,1.945,2020-10-27,San Juan,Washington,"53055","32","0",0.000,,,
-122.547792939817,48.1627295165066,"1923","1923",Island,Washington,"53","029","53029","83436",395.300000000000011,"78506",371.899999999999977,"67611","1716","658","3440","390","4295","1181","3510","38857","39649","4542","4338","4518","4615","5157","9144","8465","10981","12307","8494","4193","1752",43.299999999999997,41.000000000000000,45.299999999999997,"32746",2.350000000000000,"3759","4733","6370","12157","663","1737","22156",2.810000000000000,"40234","7488","23231","9515",377.000000000000000,40.000000000000000,7422.000000000000000,30416.000000000000000,211.080000000000013,3.571762981650000,3.571762979803476,0.066092634603400,4.614,2020-10-27,Island,Washington,"53029","385","15",0.180,,,
-121.804862657236,47.4898639505324,"1924","1924",King,Washington,"53","033","53033","2161990",987.200000000000045,"1931249",881.799999999999955,"1325845","119801","16147","282075","14486","172378","76096","96799","962090","969159","120294","113295","110789","117514","129822","312717","296790","291132","228217","112747","64148","33784",37.100000000000001,36.299999999999997,37.799999999999997,"789232",2.400000000000000,"115616","129083","164566","192925","17165","45223","461510",3.050000000000000,"851261","62029","466718","322514",1837.000000000000000,25.000000000000000,19654.000000000000000,65732.000000000000000,2190.099999999999909,6.339253219500000,6.339253149523703,0.677018071398000,12.322,2020-10-27,King,Washington,"53033","26640","828",0.383,,,
